district,size_sqm,rooms,year_built,floor,balcony,rooftop_terrace,elevator,energy_class,distance_to_U_Sbahn_m,monthly_rent_eur
Prenzlauer Berg,139.9,3.0,2001.0,4.0,0.0,0.0,1.0,3.0,357.0,2807.0
Friedrichshain,47.9,1.0,2001.0,4.0,1.0,0.0,1.0,6.0,531.0,850.0
Schöneberg,37.4,1.0,2001.0,6.0,1.0,0.0,0.0,5.0,180.0,620.0
Friedrichshain,43.7,1.0,1894.0,1.0,1.0,0.0,1.0,4.0,298.0,891.0
Wedding,84.7,2.0,1894.0,5.0,1.0,0.0,1.0,4.0,68.0,1302.0
Prenzlauer Berg,79.3,2.0,1955.0,1.0,1.0,0.0,0.0,3.0,184.0,1216.0
Prenzlauer Berg,67.7,2.0,1894.0,0.0,1.0,0.0,0.0,7.0,391.0,1071.0
Charlottenburg,,1.0,1955.0,4.0,1.0,1.0,0.0,6.0,332.0,609.0
Westend,88.3,2.0,2001.0,6.0,1.0,0.0,1.0,4.0,24.0,1221.0
Charlottenburg,39.8,1.0,1894.0,0.0,1.0,0.0,1.0,5.0,236.0,660.0
Friedrichshain,103.3,3.0,1955.0,3.0,1.0,0.0,0.0,7.0,327.0,1627.0
Friedrichshain,150.0,4.0,2018.0,3.0,1.0,0.0,1.0,7.0,336.0,2917.0
Lichtenberg,75.3,2.0,1955.0,1.0,0.0,0.0,0.0,2.0,84.0,913.0
Lichtenberg,82.1,2.0,1955.0,3.0,1.0,0.0,0.0,6.0,485.0,897.0
Wedding,53.4,,1955.0,4.0,1.0,0.0,0.0,3.0,950.0,702.0
Mitte,31.5,1.0,1894.0,3.0,1.0,0.0,1.0,4.0,527.0,639.0
Lichtenberg,51.1,1.0,1894.0,3.0,0.0,0.0,0.0,7.0,299.0,505.0
Wedding,42.0,1.0,2001.0,6.0,1.0,0.0,1.0,7.0,810.0,545.0
Wedding,36.4,1.0,1955.0,1.0,1.0,0.0,0.0,3.0,181.0,482.0
Prenzlauer Berg,129.5,4.0,1894.0,3.0,1.0,0.0,1.0,7.0,441.0,1811.0
Charlottenburg,72.5,2.0,1894.0,1.0,0.0,0.0,0.0,6.0,275.0,1034.0
Friedrichshain,75.7,2.0,2001.0,6.0,0.0,0.0,1.0,7.0,816.0,1263.0
Lichtenberg,57.4,1.0,1894.0,1.0,1.0,0.0,1.0,7.0,126.0,678.0
Prenzlauer Berg,60.7,2.0,2001.0,,1.0,0.0,1.0,5.0,126.0,1078.0
Mitte,95.6,2.0,1955.0,3.0,1.0,0.0,0.0,8.0,687.0,1297.0
Charlottenburg,64.2,2.0,1955.0,1.0,1.0,0.0,1.0,4.0,419.0,1012.0
Schöneberg,80.4,2.0,,4.0,0.0,0.0,,5.0,726.0,1196.0
Friedrichshain,60.1,1.0,1894.0,1.0,0.0,0.0,0.0,5.0,138.0,1077.0
Lichtenberg,56.7,1.0,1955.0,1.0,0.0,0.0,0.0,7.0,162.0,616.0
Wedding,37.0,1.0,2001.0,2.0,0.0,0.0,1.0,3.0,367.0,480.0
Wedding,,1.0,1894.0,,1.0,0.0,0.0,5.0,71.0,412.0
Prenzlauer Berg,58.5,2.0,1955.0,2.0,0.0,0.0,1.0,7.0,349.0,774.0
Westend,66.5,1.0,1955.0,3.0,1.0,0.0,0.0,5.0,206.0,889.0
Schöneberg,38.9,1.0,1894.0,3.0,1.0,0.0,0.0,4.0,273.0,700.0
Westend,64.1,1.0,1955.0,1.0,0.0,0.0,0.0,4.0,483.0,793.0
Friedrichshain,66.4,2.0,1894.0,1.0,1.0,0.0,0.0,6.0,501.0,1230.0
Prenzlauer Berg,27.4,1.0,1955.0,1.0,0.0,0.0,1.0,4.0,918.0,386.0
Tiergarten,45.1,1.0,1894.0,1.0,0.0,0.0,1.0,5.0,617.0,935.0
Prenzlauer Berg,76.5,2.0,1955.0,5.0,0.0,0.0,,5.0,39.0,1080.0
Charlottenburg,75.9,2.0,1894.0,2.0,0.0,0.0,,8.0,136.0,1106.0
Friedrichshain,41.0,1.0,1955.0,2.0,1.0,0.0,0.0,7.0,147.0,568.0
Friedrichshain,69.3,2.0,1955.0,4.0,1.0,1.0,0.0,4.0,574.0,1303.0
Schöneberg,97.8,3.0,2018.0,5.0,0.0,,1.0,7.0,832.0,1785.0
Friedrichshain,88.7,2.0,1955.0,4.0,1.0,1.0,1.0,7.0,96.0,1356.0
Lichtenberg,62.6,1.0,2001.0,3.0,0.0,0.0,1.0,6.0,584.0,795.0
Schöneberg,53.9,1.0,1894.0,5.0,1.0,0.0,1.0,5.0,299.0,927.0
Charlottenburg,50.5,1.0,1955.0,5.0,1.0,0.0,0.0,2.0,267.0,865.0
Schöneberg,78.4,2.0,1894.0,1.0,1.0,0.0,0.0,6.0,178.0,1303.0
Tiergarten,70.3,,1955.0,0.0,0.0,0.0,0.0,5.0,238.0,1233.0
Lichtenberg,83.6,2.0,2001.0,2.0,0.0,0.0,1.0,4.0,350.0,1141.0
Prenzlauer Berg,68.5,1.0,2001.0,5.0,0.0,0.0,1.0,1.0,197.0,1300.0
Wedding,90.2,2.0,1955.0,5.0,1.0,0.0,0.0,4.0,404.0,1144.0
Friedrichshain,67.5,2.0,2001.0,4.0,1.0,0.0,1.0,6.0,268.0,1259.0
Prenzlauer Berg,89.0,2.0,1894.0,4.0,1.0,0.0,1.0,3.0,245.0,1715.0
Prenzlauer Berg,92.1,2.0,1894.0,1.0,1.0,0.0,0.0,6.0,460.0,1389.0
Lichtenberg,,1.0,2001.0,4.0,1.0,0.0,1.0,7.0,375.0,556.0
Schöneberg,31.5,1.0,1894.0,1.0,1.0,0.0,0.0,5.0,26.0,515.0
Prenzlauer Berg,120.5,3.0,1894.0,3.0,1.0,0.0,0.0,3.0,416.0,2398.0
Mitte,72.0,2.0,2018.0,,1.0,0.0,1.0,3.0,360.0,1754.0
Charlottenburg,32.7,1.0,2018.0,0.0,1.0,0.0,1.0,5.0,644.0,748.0
Schöneberg,48.9,1.0,2001.0,6.0,0.0,0.0,1.0,7.0,371.0,758.0
Prenzlauer Berg,88.5,3.0,1955.0,5.0,1.0,0.0,0.0,6.0,228.0,1302.0
Tiergarten,58.1,1.0,2001.0,,1.0,0.0,1.0,7.0,173.0,1239.0
Wedding,53.0,2.0,1894.0,3.0,0.0,0.0,0.0,8.0,58.0,650.0
Lichtenberg,113.8,2.0,1955.0,1.0,0.0,0.0,1.0,4.0,296.0,1464.0
Friedrichshain,,1.0,1955.0,3.0,0.0,0.0,1.0,6.0,148.0,612.0
Schöneberg,47.2,2.0,2018.0,5.0,1.0,1.0,1.0,5.0,711.0,993.0
Friedrichshain,70.7,2.0,2018.0,3.0,1.0,0.0,1.0,5.0,306.0,1540.0
Westend,76.0,2.0,2001.0,1.0,0.0,0.0,1.0,5.0,113.0,1115.0
Charlottenburg,79.3,2.0,1894.0,2.0,1.0,0.0,1.0,5.0,42.0,1224.0
Westend,93.6,,1955.0,5.0,1.0,0.0,,6.0,62.0,1058.0
Wedding,70.4,2.0,1894.0,1.0,0.0,0.0,1.0,6.0,392.0,864.0
Wedding,79.1,2.0,2018.0,6.0,1.0,0.0,1.0,5.0,767.0,1122.0
Friedrichshain,58.6,1.0,1894.0,4.0,0.0,0.0,0.0,3.0,452.0,1100.0
Lichtenberg,66.7,2.0,1894.0,5.0,0.0,0.0,1.0,6.0,273.0,837.0
Mitte,67.9,2.0,2001.0,3.0,1.0,1.0,1.0,6.0,1060.0,1302.0
Tiergarten,70.8,2.0,1955.0,1.0,0.0,0.0,1.0,5.0,523.0,1318.0
Schöneberg,88.5,,,0.0,1.0,0.0,1.0,,373.0,1648.0
Charlottenburg,81.2,2.0,1894.0,3.0,0.0,0.0,1.0,4.0,223.0,1465.0
Wedding,66.2,2.0,2001.0,2.0,0.0,,1.0,7.0,794.0,929.0
Wedding,47.0,1.0,1894.0,0.0,0.0,0.0,1.0,6.0,240.0,536.0
Charlottenburg,66.8,2.0,1894.0,5.0,1.0,0.0,1.0,1.0,148.0,1306.0
Lichtenberg,64.3,2.0,1955.0,5.0,0.0,0.0,,5.0,282.0,648.0
Charlottenburg,70.2,2.0,1894.0,,0.0,0.0,1.0,5.0,327.0,1228.0
Schöneberg,150.0,4.0,1955.0,4.0,1.0,0.0,0.0,6.0,556.0,2063.0
Mitte,52.7,1.0,1894.0,2.0,1.0,1.0,0.0,3.0,145.0,1108.0
Lichtenberg,77.0,2.0,1894.0,2.0,1.0,0.0,0.0,6.0,170.0,922.0
Friedrichshain,99.7,2.0,2001.0,4.0,0.0,0.0,1.0,8.0,178.0,1656.0
Tiergarten,67.6,2.0,1894.0,2.0,1.0,0.0,0.0,5.0,270.0,1440.0
Prenzlauer Berg,150.0,4.0,2001.0,5.0,1.0,0.0,1.0,5.0,116.0,2572.0
Lichtenberg,55.9,2.0,2001.0,1.0,0.0,0.0,1.0,1.0,706.0,834.0
Lichtenberg,74.0,2.0,1894.0,,0.0,0.0,0.0,2.0,63.0,1030.0
Wedding,47.2,1.0,2001.0,6.0,0.0,0.0,1.0,8.0,809.0,556.0
Lichtenberg,56.5,1.0,1894.0,,,0.0,0.0,8.0,517.0,713.0
Lichtenberg,71.8,2.0,1955.0,0.0,1.0,0.0,,1.0,137.0,944.0
Schöneberg,91.2,2.0,1894.0,0.0,1.0,0.0,1.0,7.0,253.0,1372.0
Charlottenburg,73.8,2.0,2001.0,4.0,1.0,0.0,1.0,4.0,157.0,1461.0
Wedding,107.6,3.0,1955.0,5.0,0.0,0.0,0.0,6.0,524.0,1312.0
Westend,62.6,2.0,1955.0,5.0,1.0,0.0,1.0,6.0,753.0,745.0
Charlottenburg,56.9,2.0,2018.0,6.0,1.0,0.0,1.0,5.0,1500.0,1256.0
Friedrichshain,150.0,4.0,1955.0,,1.0,0.0,0.0,5.0,432.0,2429.0
Wedding,76.1,2.0,2018.0,3.0,1.0,0.0,1.0,6.0,65.0,1361.0
Mitte,48.7,2.0,2001.0,5.0,0.0,0.0,1.0,4.0,127.0,986.0
Lichtenberg,49.2,1.0,2018.0,4.0,0.0,0.0,1.0,8.0,416.0,560.0
Mitte,44.6,1.0,2018.0,5.0,1.0,0.0,1.0,4.0,262.0,983.0
Friedrichshain,94.5,3.0,2018.0,1.0,1.0,0.0,1.0,1.0,512.0,2618.0
Wedding,56.2,1.0,1894.0,2.0,1.0,0.0,1.0,8.0,378.0,668.0
Friedrichshain,68.4,1.0,2001.0,3.0,1.0,0.0,1.0,5.0,139.0,1330.0
Friedrichshain,63.4,1.0,2001.0,6.0,0.0,0.0,1.0,5.0,230.0,1258.0
Schöneberg,87.1,3.0,,1.0,0.0,0.0,1.0,4.0,530.0,1463.0
Lichtenberg,46.3,1.0,1894.0,1.0,1.0,0.0,0.0,1.0,394.0,684.0
Mitte,42.3,1.0,2018.0,0.0,0.0,0.0,1.0,,516.0,856.0
Charlottenburg,71.1,2.0,1894.0,0.0,1.0,0.0,1.0,5.0,89.0,1402.0
Wedding,82.7,2.0,1955.0,5.0,1.0,0.0,0.0,5.0,148.0,913.0
Lichtenberg,74.2,2.0,1955.0,5.0,1.0,0.0,1.0,5.0,671.0,876.0
Schöneberg,47.0,2.0,1894.0,1.0,1.0,0.0,1.0,7.0,93.0,717.0
Friedrichshain,85.2,2.0,,4.0,1.0,0.0,1.0,8.0,495.0,1438.0
Tiergarten,48.3,1.0,1894.0,3.0,0.0,0.0,0.0,5.0,82.0,888.0
Mitte,,1.0,2001.0,6.0,0.0,0.0,1.0,8.0,323.0,799.0
Friedrichshain,44.6,1.0,2001.0,2.0,1.0,1.0,1.0,7.0,203.0,883.0
Westend,109.4,3.0,1955.0,5.0,1.0,0.0,1.0,8.0,137.0,1182.0
Friedrichshain,83.7,2.0,2001.0,2.0,1.0,0.0,1.0,6.0,343.0,1350.0
Schöneberg,82.8,2.0,1894.0,4.0,1.0,0.0,0.0,4.0,648.0,1409.0
Wedding,107.0,3.0,2001.0,2.0,1.0,0.0,1.0,4.0,166.0,1509.0
Schöneberg,150.0,3.0,2018.0,,1.0,0.0,1.0,7.0,32.0,2659.0
Mitte,32.8,1.0,1894.0,2.0,1.0,0.0,0.0,5.0,268.0,588.0
Wedding,48.4,1.0,2001.0,5.0,0.0,0.0,1.0,7.0,136.0,598.0
Wedding,50.8,1.0,1955.0,3.0,0.0,0.0,0.0,6.0,538.0,564.0
Wedding,46.2,1.0,1955.0,,1.0,1.0,,4.0,203.0,584.0
Friedrichshain,42.2,1.0,2001.0,6.0,0.0,0.0,1.0,5.0,172.0,752.0
Friedrichshain,57.7,1.0,1955.0,4.0,1.0,0.0,1.0,8.0,222.0,820.0
Lichtenberg,40.0,1.0,2001.0,3.0,,0.0,1.0,1.0,648.0,576.0
Prenzlauer Berg,74.3,2.0,1894.0,0.0,1.0,0.0,0.0,6.0,409.0,1231.0
Charlottenburg,66.4,2.0,1955.0,5.0,1.0,0.0,1.0,8.0,118.0,884.0
Prenzlauer Berg,78.8,2.0,2018.0,5.0,0.0,0.0,0.0,3.0,89.0,1431.0
Westend,79.6,2.0,1894.0,4.0,1.0,0.0,0.0,4.0,802.0,1147.0
Lichtenberg,82.7,1.0,1955.0,4.0,1.0,0.0,1.0,5.0,,972.0
Charlottenburg,56.0,1.0,1894.0,3.0,1.0,0.0,1.0,7.0,662.0,863.0
Lichtenberg,150.0,4.0,2001.0,1.0,1.0,1.0,1.0,5.0,259.0,2241.0
Tiergarten,71.4,2.0,1955.0,1.0,1.0,,0.0,2.0,150.0,1583.0
Schöneberg,30.9,1.0,1955.0,0.0,1.0,0.0,1.0,,160.0,581.0
Westend,43.5,2.0,1894.0,0.0,,0.0,0.0,5.0,269.0,675.0
Friedrichshain,32.4,1.0,,4.0,1.0,0.0,0.0,5.0,30.0,473.0
Friedrichshain,65.5,2.0,2018.0,5.0,1.0,0.0,1.0,4.0,154.0,1427.0
Prenzlauer Berg,61.9,2.0,1955.0,0.0,1.0,,0.0,7.0,1002.0,821.0
Lichtenberg,53.9,1.0,1955.0,3.0,0.0,0.0,1.0,,1204.0,750.0
Schöneberg,145.3,3.0,2001.0,0.0,0.0,1.0,1.0,7.0,169.0,2185.0
Lichtenberg,81.0,3.0,1955.0,2.0,1.0,0.0,0.0,8.0,476.0,767.0
Wedding,86.9,2.0,1955.0,4.0,1.0,0.0,1.0,6.0,400.0,936.0
Prenzlauer Berg,44.8,1.0,1955.0,4.0,1.0,0.0,0.0,6.0,102.0,609.0
Wedding,43.6,1.0,1894.0,,1.0,0.0,0.0,3.0,482.0,611.0
Tiergarten,66.0,1.0,2001.0,2.0,1.0,0.0,1.0,6.0,,1378.0
Friedrichshain,69.7,2.0,2018.0,6.0,1.0,0.0,1.0,5.0,313.0,1372.0
Wedding,30.9,,2018.0,5.0,0.0,0.0,1.0,4.0,552.0,526.0
Wedding,60.5,2.0,2018.0,2.0,1.0,0.0,1.0,6.0,230.0,939.0
Mitte,65.4,1.0,1955.0,1.0,1.0,0.0,0.0,1.0,228.0,1145.0
Schöneberg,59.6,1.0,1894.0,0.0,1.0,0.0,0.0,4.0,445.0,989.0
Westend,46.9,1.0,2001.0,6.0,1.0,0.0,1.0,6.0,675.0,618.0
Lichtenberg,52.4,1.0,2018.0,1.0,0.0,1.0,1.0,5.0,427.0,887.0
Westend,60.6,1.0,2001.0,1.0,0.0,0.0,1.0,3.0,237.0,1102.0
Prenzlauer Berg,67.4,2.0,1955.0,2.0,1.0,0.0,1.0,1.0,626.0,1205.0
Charlottenburg,82.8,3.0,2001.0,0.0,0.0,1.0,1.0,4.0,388.0,1543.0
Prenzlauer Berg,100.2,3.0,2001.0,5.0,1.0,0.0,1.0,5.0,776.0,1698.0
Westend,57.8,,2018.0,4.0,1.0,1.0,1.0,5.0,919.0,1007.0
Lichtenberg,54.2,1.0,2001.0,,0.0,0.0,1.0,3.0,422.0,773.0
Prenzlauer Berg,77.4,2.0,1955.0,0.0,0.0,0.0,1.0,6.0,739.0,1194.0
Mitte,83.0,2.0,1894.0,0.0,1.0,0.0,0.0,8.0,754.0,1391.0
Mitte,54.6,1.0,1955.0,5.0,0.0,0.0,,6.0,281.0,901.0
Wedding,89.2,2.0,1955.0,2.0,1.0,,1.0,5.0,754.0,1110.0
Wedding,96.2,2.0,2018.0,4.0,1.0,0.0,1.0,6.0,324.0,1332.0
Friedrichshain,109.0,3.0,1955.0,0.0,1.0,0.0,1.0,7.0,516.0,1573.0
Tiergarten,132.4,3.0,1955.0,1.0,1.0,,0.0,8.0,300.0,2145.0
Schöneberg,46.0,1.0,1955.0,3.0,1.0,0.0,0.0,2.0,74.0,686.0
Friedrichshain,65.4,2.0,2001.0,1.0,1.0,0.0,1.0,4.0,1099.0,1363.0
Wedding,65.3,2.0,1955.0,3.0,1.0,0.0,0.0,3.0,501.0,907.0
Charlottenburg,62.5,2.0,1894.0,5.0,0.0,0.0,0.0,7.0,533.0,969.0
Friedrichshain,50.1,2.0,2018.0,,1.0,0.0,1.0,2.0,349.0,1260.0
Lichtenberg,35.9,1.0,1955.0,3.0,0.0,0.0,0.0,7.0,750.0,314.0
Friedrichshain,67.5,2.0,1955.0,5.0,0.0,0.0,0.0,1.0,276.0,1394.0
Charlottenburg,47.8,1.0,1894.0,5.0,0.0,0.0,1.0,6.0,291.0,689.0
Friedrichshain,67.3,3.0,1955.0,0.0,0.0,0.0,1.0,4.0,119.0,1127.0
Friedrichshain,47.3,1.0,2001.0,0.0,0.0,0.0,1.0,5.0,376.0,932.0
Tiergarten,41.9,1.0,2018.0,6.0,1.0,0.0,1.0,5.0,724.0,1051.0
Tiergarten,71.4,2.0,1894.0,5.0,0.0,0.0,0.0,6.0,279.0,1249.0
Friedrichshain,69.0,2.0,2018.0,2.0,0.0,0.0,1.0,5.0,104.0,1320.0
Tiergarten,81.9,3.0,2001.0,3.0,1.0,1.0,0.0,5.0,622.0,1950.0
Schöneberg,150.0,4.0,1894.0,3.0,1.0,1.0,1.0,6.0,448.0,2575.0
Wedding,72.6,2.0,1894.0,4.0,0.0,0.0,,8.0,1014.0,743.0
Prenzlauer Berg,78.9,2.0,1894.0,4.0,1.0,0.0,1.0,7.0,161.0,1248.0
Charlottenburg,42.2,1.0,2018.0,2.0,1.0,0.0,1.0,6.0,503.0,728.0
Schöneberg,38.8,1.0,1894.0,5.0,1.0,0.0,0.0,5.0,100.0,642.0
Lichtenberg,122.4,3.0,1955.0,0.0,1.0,0.0,,,306.0,1222.0
Lichtenberg,44.9,1.0,2001.0,0.0,1.0,0.0,1.0,5.0,353.0,615.0
Tiergarten,42.8,1.0,2018.0,6.0,1.0,0.0,1.0,8.0,66.0,900.0
Friedrichshain,64.0,2.0,2001.0,1.0,0.0,0.0,1.0,7.0,688.0,1188.0
Mitte,62.7,2.0,2001.0,6.0,1.0,0.0,1.0,3.0,562.0,1357.0
Mitte,45.3,1.0,1894.0,1.0,1.0,0.0,0.0,2.0,448.0,899.0
Schöneberg,57.5,2.0,2018.0,2.0,0.0,0.0,1.0,6.0,106.0,1012.0
Prenzlauer Berg,106.3,3.0,1894.0,0.0,0.0,0.0,1.0,6.0,175.0,1924.0
Tiergarten,47.1,1.0,1894.0,5.0,1.0,0.0,0.0,6.0,609.0,984.0
Charlottenburg,37.2,1.0,2018.0,2.0,1.0,0.0,0.0,8.0,304.0,627.0
Schöneberg,94.8,2.0,1894.0,1.0,1.0,0.0,0.0,5.0,258.0,1416.0
